"","species","count"
"548","Osmia bicornis",45020
"549","Osmia bidentata",45
"550","Osmia brevis",1604
"551","Osmia bucephala",2019
"552","Osmia caerulescens",7307
"553","Osmia californica",1806
"554","Osmia carbo",17
"555","Osmia cerinthidis",74
"556","Osmia conjuncta",482
"557","Osmia cornifrons",2057
"558","Osmia cornuta",29693
"559","Osmia croatica",16
"560","Osmia difficilis",22
"561","Osmia distinguenda",16
"562","Osmia emarginata",12
"563","Osmia excavata",14
"564","Osmia fedtschenkoi",6
"565","Osmia gallarum",518
"566","Osmia inermis",657
"567","Osmia labialis",190
"568","Osmia laticeps",179
"569","Osmia lignaria",11039
"570","Osmia ligurica",77
"571","Osmia melanocephala",5
"572","Osmia montana",1726
"573","Osmia mustelina",476
"574","Osmia nigriventris",888
"575","Osmia nigrohirta",6
"576","Osmia niveata",1066
"577","Osmia padri",4
"578","Osmia parietina",1735
"579","Osmia pedicornis",16
"580","Osmia pilicornis",731
"581","Osmia pinguis",22
"582","Osmia pumila",5810
"583","Osmia rhodoensis",5
"584","Osmia ribifloris",1657
"585","Osmia scheherazade",12
"586","Osmia scutellaris",91
"587","Osmia spinigera",10
"588","Osmia spinulosa",3062
"589","Osmia steinmanni",17
"590","Osmia taurus",2773
"591","Osmia tergestensis",151
"592","Osmia tricornis",123
"593","Osmia uncicornis",6
"594","Osmia uncinata",1154
"595","Osmia xanthomelana",1031
"596","Othinosmia schultzei",107
"597","Panurginus albopilosus",10
"598","Panurginus herzi",249
"599","Panurginus montanus",336
"600","Panurgus banksianus",3364
"601","Panurgus calcaratus",7941
"602","Panurgus calceatus",10
"603","Panurgus canescens",13
"604","Panurgus cephalotes",9
"605","Panurgus dentipes",1072
"606","Panurgus maroccanus",86
"607","Panurgus perezi",5
"608","Patellapis communis",87
"609","Peponapis michelbacherorum",78
"610","Peponapis pruinosa",4477
"611","Peponapis utahensis",312
"612","Perdita floridensis",117
"613","Protomeliturga turnerae",179
"614","Protosmia minutula",74
"615","Pseudoanthidium eximium",6
"616","Pseudoanthidium melanurum",27
"617","Pseudoanthidium reticulatum",14
"618","Pseudoanthidium scapulare",54
"619","Ptilothrix bombiformis",4658
"620","Ptilothrix plumata",29
"621","Rhodanthidium caturigense",140
"622","Rhodanthidium infuscatum",67
"623","Rhodanthidium septemdentatum",1016
"624","Rhodanthidium siculum",19
"625","Rhodanthidium sticticum",445
"626","Rophites algirus",369
"627","Rophites quinquespinosus",163
"628","Samba ogilviei",182
"629","Scrapter niger",143
"630","Scrapter nitidus",468
"631","Stenoheriades asiatica",5
"632","Stenoheriades coelostoma",17
"633","Systropha curvicornis",222
"634","Systropha planidens",129
"635","Trachusa byssina",5427
"636","Trachusa dumerlei",16
"637","Trachusa interrupta",224
"638","Trachusa pubescens",8
"639","Wainia eremoplana",4
"640","Xenoglossa angustior",232
"641","Xenoglossa patricia",124
"642","Xenoglossa strenua",515
"643","Xylocopa virginica",51392
