species_original,species_clean,plant_fam_count,plant_gen_count,bee_family,bee_genus
Bombus niveatus,Bombus niveatus,8,22,Apidae,Bombus
Bombus pascuorum,Bombus pascuorum,8,16,Apidae,Bombus
Bombus pensylvanicus,Bombus pensylvanicus,9,19,Apidae,Bombus
Bombus perplexus,Bombus perplexus,16,27,Apidae,Bombus
Bombus pomorum,Bombus pomorum,12,30,Apidae,Bombus
Bombus portschinskyi,Bombus portschinskyi,7,15,Apidae,Bombus
Bombus pyrenaeus,Bombus pyrenaeus,13,16,Apidae,Bombus
Bombus ruderarius,Bombus ruderarius,15,34,Apidae,Bombus
Bombus ruderatus,Bombus ruderatus,13,21,Apidae,Bombus
Bombus sichelii,Bombus sichelii,13,22,Apidae,Bombus
Bombus soroeensis,Bombus soroeensis,17,28,Apidae,Bombus
Bombus sporadicus,Bombus sporadicus,6,7,Apidae,Bombus
Bombus subterraneus,Bombus subterraneus,9,27,Apidae,Bombus
Bombus sylvarum,Bombus sylvarum,15,34,Apidae,Bombus
Bombus ternarius,Bombus ternarius,14,27,Apidae,Bombus
Bombus terrestris,Bombus terrestris,6,8,Apidae,Bombus
Bombus terricola,Bombus terricola,15,26,Apidae,Bombus
Bombus vagans,Bombus vagans,16,35,Apidae,Bombus
Bombus veteranus,Bombus veteranus,10,22,Apidae,Bombus
Bombus wurflenii,Bombus wurflenii,10,13,Apidae,Bombus
Bombus zonatus,Bombus zonatus,7,19,Apidae,Bombus
Camptopoeum friesei euzonus,Camptopoeum friesei,1,1,Andrenidae,Camptopoeum
Camptopoeum frontale,Camptopoeum frontale,1,1,Andrenidae,Camptopoeum
Camptopoeum sacrum,Camptopoeum sacrum,1,1,Andrenidae,Camptopoeum
Ceratina calcarata,Ceratina calcarata,10,19,Apidae,Ceratina
Ceratina chalcites,Ceratina chalcites,2,4,Apidae,Ceratina
Ceratina dupla,Ceratina dupla,10,17,Apidae,Ceratina
Ceratina mikmaqi,Ceratina mikmaqi,9,22,Apidae,Ceratina
Clavipanurgus punctiventris,Clavipanurgus punctiventris,1,3,Andrenidae,Clavipanurgus
Clavipanurgus sculpturatus,Clavipanurgus sculpturatus,1,2,Andrenidae,Clavipanurgus
Colletes acutus,Colletes acutus,6,6,Colletidae,Colletes
Colletes americanus,Colletes americanus,1,1,Colletidae,Colletes
Colletes compactus,Colletes compactus,1,1,Colletidae,Colletes
Colletes consors mesoscopus,Colletes consors,4,6,Colletidae,Colletes
Colletes dinizi,Colletes dinizi,1,1,Colletidae,Colletes
Colletes hyalinus,Colletes hyalinus,5,7,Colletidae,Colletes
Colletes inaequalis,Colletes inaequalis,5,7,Colletidae,Colletes
Colletes kincaidii,Colletes kincaidii,5,5,Colletidae,Colletes
Colletes simulans,Colletes simulans,1,1,Colletidae,Colletes
Colletes thoracicus,Colletes thoracicus,7,8,Colletidae,Colletes
Colletes validus,Colletes validus,1,1,Colletidae,Colletes
Dufourea monardae,Dufourea monardae,1,1,Halictidae,Dufourea
Eucera alternans,Eucera alternans,8,12,Apidae,Eucera
Eucera caspica,Eucera caspica,3,7,Apidae,Eucera
Eucera cinctella,Eucera cinctella,1,1,Apidae,Eucera
Eucera clypeata,Eucera clypeata,9,18,Apidae,Eucera
Eucera collaris,Eucera collaris,6,9,Apidae,Eucera
Eucera decolorata,Eucera decolorata,6,12,Apidae,Eucera
Eucera dentata,Eucera dentata,1,2,Apidae,Eucera
Eucera elongatula,Eucera elongatula,11,21,Apidae,Eucera
Eucera eucnemidea,Eucera eucnemidea,2,7,Apidae,Eucera
Eucera furfurea,Eucera furfurea,1,1,Apidae,Eucera
Eucera iberica,Eucera iberica,1,1,Apidae,Eucera
Eucera interrupta,Eucera interrupta,1,7,Apidae,Eucera
Eucera julliani,Eucera julliani,1,1,Apidae,Eucera
Eucera longicornis,Eucera longicornis,3,12,Apidae,Eucera
Eucera nana,Eucera nana,1,1,Apidae,Eucera
Eucera nigrescens,Eucera nigrescens,3,9,Apidae,Eucera
