"","all_hulls$species","species"
"471","Lasioglossum interruptum","Lasioglossum interruptum"
"472","Lasioglossum laevigatum","Lasioglossum laevigatum"
"473","Lasioglossum laevissimum","Lasioglossum laevissimum"
"474","Lasioglossum laticeps","Lasioglossum laticeps"
"475","Lasioglossum lativentre","Lasioglossum lativentre"
"476","Lasioglossum leucopus","Lasioglossum leucopus"
"477","Lasioglossum leucozonium","Lasioglossum leucozonium"
"478","Lasioglossum lineatulum","Lasioglossum lineatulum"
"479","Lasioglossum lustrans","Lasioglossum lustrans"
"480","Lasioglossum macoupinense","Lasioglossum macoupinense"
"481","Lasioglossum malachurum","Lasioglossum malachurum"
"482","Lasioglossum mediterraneum","Lasioglossum mediterraneum"
"483","Lasioglossum monstrificum","Lasioglossum monstrificum"
"484","Lasioglossum morio","Lasioglossum morio"
"485","Lasioglossum nigripes","Lasioglossum nigripes"
"486","Lasioglossum pallens","Lasioglossum pallens"
"487","Lasioglossum paradmirandum","Lasioglossum paradmirandum"
"488","Lasioglossum paraforbesii","Lasioglossum paraforbesii"
"489","Lasioglossum parvulum","Lasioglossum parvulum"
"490","Lasioglossum pauperatum","Lasioglossum pauperatum"
"491","Lasioglossum pauxillum","Lasioglossum pauxillum"
"492","Lasioglossum pectorale","Lasioglossum pectorale"
"493","Lasioglossum perpunctatum","Lasioglossum perpunctatum"
"494","Lasioglossum pilosum","Lasioglossum pilosum"
"495","Lasioglossum prasinum","Lasioglossum prasinum"
"496","Lasioglossum punctatissimum","Lasioglossum punctatissimum"
"497","Lasioglossum puncticolle","Lasioglossum puncticolle"
"498","Lasioglossum quebecense","Lasioglossum quebecense"
"499","Lasioglossum tricinctum","Lasioglossum tricinctum"
"500","Lasioglossum versans","Lasioglossum versans"
"501","Lasioglossum versatum","Lasioglossum versatum"
"502","Lasioglossum villosulum","Lasioglossum villosulum"
"503","Lasioglossum xanthopus","Lasioglossum xanthopus"
"504","Lasioglossum zonulum","Lasioglossum zonulum"
"505","Lipotriches cinerascens","Lipotriches cinerascens"
"506","Lipotriches cribrosa","Lipotriches cribrosa"
"507","Lipotriches hylaeoides","Lipotriches hylaeoides"
"508","Lipotriches tanganyicensis","Lipotriches tanganyicensis"
"509","Patellapis communis","Patellapis communis"
"510","Rophites algirus","Rophites algirus"
"511","Rophites quinquespinosus","Rophites quinquespinosus"
"512","Systropha curvicornis","Systropha curvicornis"
"513","Systropha planidens","Systropha planidens"
"514","Afranthidium carduele","Afranthidium carduele"
"515","Afranthidium pusillum","Afranthidium pusillum"
"516","Anthidiellum breviusculum","Anthidiellum breviusculum"
"517","Anthidiellum strigatum","Anthidiellum strigatum"
"518","Anthidium anguliventre","Anthidium anguliventre"
"519","Anthidium auritum","Anthidium auritum"
"520","Anthidium cingulatum","Anthidium cingulatum"
"521","Anthidium dalmaticum","Anthidium dalmaticum"
"522","Anthidium diadema","Anthidium diadema"
"523","Anthidium echinatum","Anthidium echinatum"
"524","Anthidium florentinum","Anthidium florentinum"
"525","Anthidium loti","Anthidium loti"
"526","Anthidium manicatum","Anthidium manicatum"
"527","Anthidium montanum","Anthidium montanum"
"528","Anthidium oblongatum","Anthidium oblongatum"
"529","Anthidium punctatum","Anthidium punctatum"
"530","Anthidium septemspinosum","Anthidium septemspinosum"
"531","Anthidium spiniventre","Anthidium spiniventre"
"532","Anthidium taeniatum","Anthidium taeniatum"
"533","Anthidium tesselatum","Anthidium tesselatum"
"534","Anthidium undulatum","Anthidium undulatum"
"535","Chelostoma aureocinctum","Chelostoma aureocinctum"
"536","Chelostoma californicum","Chelostoma californicum"
"537","Chelostoma campanularum","Chelostoma campanularum"
"538","Chelostoma carinulum","Chelostoma carinulum"
"539","Chelostoma diodon","Chelostoma diodon"
"540","Chelostoma distinctum","Chelostoma distinctum"
"541","Chelostoma edentulum","Chelostoma edentulum"
"542","Chelostoma emarginatum","Chelostoma emarginatum"
"543","Chelostoma florisomne","Chelostoma florisomne"
"544","Chelostoma foveolatum","Chelostoma foveolatum"
"545","Chelostoma garrulum","Chelostoma garrulum"
"546","Chelostoma grande","Chelostoma grande"
"547","Chelostoma incisulum","Chelostoma incisulum"
"548","Chelostoma minutum","Chelostoma minutum"
"549","Chelostoma mocsaryi","Chelostoma mocsaryi"
"550","Chelostoma nasutum","Chelostoma nasutum"
"551","Chelostoma phaceliae","Chelostoma phaceliae"
"552","Chelostoma philadelphi","Chelostoma philadelphi"
"553","Chelostoma rapunculi","Chelostoma rapunculi"
"554","Chelostoma styriacum","Chelostoma styriacum"
"555","Chelostoma ventrale","Chelostoma ventrale"
"556","Dianthidium simile","Dianthidium simile"
"557","Eoanthidium clypeare","Eoanthidium clypeare"
"558","Eoanthidium insulare","Eoanthidium insulare"
"559","Haetosmia circumventa","Haetosmia circumventa"
"560","Haetosmia vechti","Haetosmia vechti"
"561","Heriades carinata","Heriades carinata"
"562","Heriades crenulata","Heriades crenulata"
"563","Heriades rubicola","Heriades rubicola"
"564","Heriades truncorum","Heriades truncorum"
"565","Hofferia mauritanica","Hofferia mauritanica"
"566","Hoplitis adunca","Hoplitis adunca"
"567","Hoplitis annulata","Hoplitis annulata"
"568","Hoplitis anthocopoides","Hoplitis anthocopoides"
"569","Hoplitis benoisti","Hoplitis benoisti"
"570","Hoplitis bihamata","Hoplitis bihamata"
"571","Hoplitis carinata","Hoplitis carinata"
"572","Hoplitis christae","Hoplitis christae"
"573","Hoplitis cristatula","Hoplitis cristatula"
"574","Hoplitis dalmatica","Hoplitis dalmatica"
"575","Hoplitis fertoni","Hoplitis fertoni"
"576","Hoplitis hartliebi","Hoplitis hartliebi"
"577","Hoplitis hierichonica","Hoplitis hierichonica"
"578","Hoplitis illustris","Hoplitis illustris"
"579","Hoplitis lepeletieri","Hoplitis lepeletieri"
"580","Hoplitis loti","Hoplitis loti"
"581","Hoplitis manicata","Hoplitis manicata"
"582","Hoplitis marchali","Hoplitis marchali"
"583","Hoplitis mitis","Hoplitis mitis"
"584","Hoplitis monstrabilis","Hoplitis monstrabilis"
"585","Hoplitis mucida","Hoplitis mucida"
"586","Hoplitis nisa","Hoplitis nisa"
"587","Hoplitis pallicornis","Hoplitis pallicornis"
"588","Hoplitis parana","Hoplitis parana"
"589","Hoplitis pici","Hoplitis pici"
"590","Hoplitis pilosifrons","Hoplitis pilosifrons"
"591","Hoplitis praestans","Hoplitis praestans"
"592","Hoplitis ravouxi","Hoplitis ravouxi"
"593","Hoplitis robusta","Hoplitis robusta"
"594","Hoplitis tigrina","Hoplitis tigrina"
"595","Hoplitis tuberculata","Hoplitis tuberculata"
"596","Hoplitis villosa","Hoplitis villosa"
"597","Hoplitis zonalis","Hoplitis zonalis"
"598","Icteranthidium cimbiciforme","Icteranthidium cimbiciforme"
"599","Icteranthidium fedtschenkoi","Icteranthidium fedtschenkoi"
"600","Icteranthidium ferrugineum","Icteranthidium ferrugineum"
"601","Icteranthidium grohmanni","Icteranthidium grohmanni"
"602","Icteranthidium laterale","Icteranthidium laterale"
"603","Icteranthidium limbiferum","Icteranthidium limbiferum"
