"","bee_species","fam_hill_2","bee_genus","bee_family","eoo_size_m2","count_in_Dorey","diet_families_rareCount","diet_binary","log_area","log_diet","log_hill"
"110","Andrena niveata",1.07660086796627,"Andrena","Andrenidae",5321590783867,128,2.900897,"Generalist",29.3027933941085,1.06501999951067,0.0738087333549383
"111","Andrena nuda",1.60244120236867,"Andrena","Andrenidae",6723670540400,984,6,"Generalist",29.5366553327135,1.79175946922805,0.471528217949952
"112","Andrena numida",1.4279672919769,"Andrena","Andrenidae",171416510929,16,2,"Generalist",25.8673621682781,0.693147180559945,0.356251958876994
"113","Andrena nycthemera",1,"Andrena","Andrenidae",12782485049254,755,1,"Specialist",30.1790969942738,0,0
"114","Andrena ovatula",1.00313901892854,"Andrena","Andrenidae",10175279587292,5559,1.37037,"Generalist",29.9509823247462,0.315080776369589,0.00313410249445836
"115","Andrena oviventris",1.01908976652887,"Andrena","Andrenidae",78680237431,35,2.188397,"Generalist",25.0886578481419,0.783169312342036,0.0189098431269589
"116","Andrena pallitarsis",1,"Andrena","Andrenidae",1200186414170,59,1,"Specialist",27.8134980057994,0,0
"117","Andrena pandosa",1,"Andrena","Andrenidae",306581153210,8,1,"Specialist",26.4487483312077,0,0
"118","Andrena pauxilla",1.28482186620367,"Andrena","Andrenidae",51290361721,7,2,"Generalist",24.6607686907891,0.693147180559945,0.250620083215345
"119","Andrena perplexa",2.65525020007611,"Andrena","Andrenidae",10170543453009,3674,12,"Generalist",29.9505167614354,2.484906649788,0.976538887570646
"120","Andrena pilipes",1.76781487989006,"Andrena","Andrenidae",19827749926303,953,5.540962,"Generalist",30.618103583858,1.71216813189382,0.569744252788865
"121","Andrena placata",1,"Andrena","Andrenidae",6478327676583,593,1,"Specialist",29.4994835183844,0,0
"122","Andrena polita",1,"Andrena","Andrenidae",8623487889735,213,1,"Specialist",29.785510746344,0,0
"123","Andrena potentillae",1,"Andrena","Andrenidae",2401554327454,127,1,"Specialist",28.5071372800956,0,0
"124","Andrena praecox",1.01145028253519,"Andrena","Andrenidae",19918033348320,6872,1.726817,"Generalist",30.6226466357171,0.546279829450355,0.0113852242033096
"125","Andrena propinqua",2.0266099966728,"Andrena","Andrenidae",9108133644219,767,11.014504,"Generalist",29.8401889373007,2.39921294973523,0.706364444750993
"126","Andrena ranunculorum",1.42441575444118,"Andrena","Andrenidae",1171334537963,53,5.556337,"Generalist",27.7891648454508,1.71493907820024,0.353761732765529
