flag,sp_wood_og,sp_wood_clean,,sp_dorey
,Eucera morio,Eucera morio,,
,Eucera nana,Eucera nana,,
,Eucera nigrescens,Eucera nigrescens,,
,Eucera nigrifacies,Eucera nigrifacies,,
,Eucera nigrilabris,Eucera nigrilabris,,
,Eucera notata,Eucera notata,,
,Eucera numida,Eucera numida,,
,Eucera proxima,Eucera proxima,,
,Eucera strigata,Eucera strigata,,
,Eucera taurica,Eucera taurica,,
,Flavipanugus granadensis,Flavipanugus granadensis,,
,Flavipanurgus flavus,Flavipanurgus flavus,,
,Flavipanurgus fuzetus,Flavipanurgus fuzetus,,
,Flavipanurgus granadensis,Flavipanurgus granadensis,,
,Flavipanurgus kastiliensis,Flavipanurgus kastiliensis,,
,Halictus confusus,Halictus confusus,,
,Halictus crenicornis,Halictus crenicornis,,
,Halictus eurygnathus,Halictus eurygnathus,,
,Halictus gemmeus,Halictus gemmeus,,
,Halictus ligatus,Halictus ligatus,,
,Halictus maculatus,Halictus maculatus,,
,Halictus parallelus,Halictus parallelus,,
,Halictus pollinosus,Halictus pollinosus,,
,Halictus quadricinctus,Halictus quadricinctus,,
,Halictus rubicundus,Halictus rubicundus,,
,Halictus scabiosae,Halictus scabiosae,,
,Halictus sexcinctus,Halictus sexcinctus,,
,Halictus subauratus,Halictus subauratus,,
,Halictus tumulorum,Halictus tumulorum,,
,Halictus vestitus,Halictus vestitus,,
,Halopanurgus baldocki,Halopanurgus baldocki,,
,Heriades carinata,Heriades carinata,,
,Heriades crenulata,Heriades crenulata,,
,Heriades leavitti,Heriades leavitti,,
,Heriades truncorum,Heriades truncorum,,
,Hoplitis adunca,Hoplitis adunca,,
,Hoplitis albifrons,Hoplitis albifrons,,
,Hoplitis claviventris,Hoplitis claviventris,,
,Hoplitis dalmatica,Hoplitis dalmatica,,
,Hoplitis pilosifrons,Hoplitis pilosifrons,,
,Hoplitis praestans,Hoplitis praestans,,
,Hoplitis producta,Hoplitis producta,,
,Hoplitis stecki,Hoplitis stecki,,
,Hoplitis tridentata,Hoplitis tridentata,,
,Lasioglossum acuminatum,Lasioglossum acuminatum,,
,Lasioglossum admirandum,Lasioglossum admirandum,,
,Lasioglossum aeratum,Lasioglossum aeratum,,
,Lasioglossum albipes,Lasioglossum albipes,,
,Lasioglossum albocinctum,Lasioglossum albocinctum,,
,Lasioglossum anomalum,Lasioglossum anomalum,,
,Lasioglossum athabascense,Lasioglossum athabascense,,
,Lasioglossum atwoodi,Lasioglossum atwoodi,,
,Lasioglossum bimaculatum,Lasioglossum bimaculatum,,
,Lasioglossum brevicorne,Lasioglossum brevicorne,,
,Lasioglossum bruneri,Lasioglossum bruneri,,
,Lasioglossum buccale,Lasioglossum buccale,,
,Lasioglossum calceatum,Lasioglossum calceatum,,
,Lasioglossum callizonium,Lasioglossum callizonium,,
,Lasioglossum cattalae,Lasioglossum cattalae,,
,Lasioglossum cattellae,Lasioglossum cattellae,,
,Lasioglossum cinctipes,Lasioglossum cinctipes,,
,Lasioglossum coeruleum,Lasioglossum coeruleum,,
,Lasioglossum convexiusculum,Lasioglossum convexiusculum,,
,Lasioglossum coriaceum,Lasioglossum coriaceum,,
,Lasioglossum corvinum,Lasioglossum corvinum,,
,Lasioglossum costulatum,Lasioglossum costulatum,,
,Lasioglossum cressonii,Lasioglossum cressonii,,
,Lasioglossum cristula,Lasioglossum cristula,,
,Lasioglossum discum,Lasioglossum discum,,
,Lasioglossum dreisbachi,Lasioglossum dreisbachi,,
,Lasioglossum ephialtum,Lasioglossum ephialtum,,
,Lasioglossum foxii,Lasioglossum foxii,,
,Lasioglossum fulvicorne,Lasioglossum fulvicorne,,
,Lasioglossum fuscipenne,Lasioglossum fuscipenne,,
