beeFamily,species,Loads,dietFamily
Apidae,Xylocopa virginica,13,7
Colletidae,Actenosigynes mantiqueirensis,NA,1
Colletidae,Bicolletes indigoticus,10,1
Colletidae,Bicolletes pampeana,10,1
Colletidae,Colletes abeillei,46,2
Colletidae,Colletes acutiformis,14,4
Colletidae,Colletes acutus,18,3
Colletidae,Colletes albomaculatus,34,5
Colletidae,Colletes anchusae,15,1
Colletidae,Colletes brevigena,14,6
Colletidae,Colletes capensis,27,3
Colletidae,Colletes carinatus,21,3
Colletidae,Colletes cariniger,25,1
Colletidae,Colletes caskanus,17,5
Colletidae,Colletes collaris,12,2
Colletidae,Colletes consors,12,4
Colletidae,Colletes cunicularius,44,6
Colletidae,Colletes daviesanus,34,1
Colletidae,Colletes dinizi,13,1
Colletidae,Colletes dorsalis,15,4
Colletidae,Colletes dusmeti,16,5
Colletidae,Colletes eous,40,9
Colletidae,Colletes escalerai,13,2
Colletidae,Colletes floralis,15,7
Colletidae,Colletes fodiens,33,1
Colletidae,Colletes formosus,18,2
Colletidae,Colletes foveolaris,37,2
Colletidae,Colletes gallicus,34,4
Colletidae,Colletes graeffei,10,1
Colletidae,Colletes halophilus,27,2
Colletidae,Colletes hederae,41,3
Colletidae,Colletes hethiticus,18,3
Colletidae,Colletes hylaeiformis,32,1
Colletidae,Colletes impunctatus,37,7
Colletidae,Colletes inaequalis,21,4
Colletidae,Colletes inexpectatus,10,1
Colletidae,Colletes kincaidii,12,5
Colletidae,Colletes lacunatus,15,4
Colletidae,Colletes ligatus,25,2
Colletidae,Colletes maidli,26,6
Colletidae,Colletes marginatus,50,5
Colletidae,Colletes meyeri,15,2
Colletidae,Colletes mlokossewiczi,39,1
Colletidae,Colletes nanus,24,4
Colletidae,Colletes nasutus,32,1
Colletidae,Colletes nigricans,64,8
Colletidae,Colletes noskiewiczi,11,2
Colletidae,Colletes perezi,33,7
Colletidae,Colletes petalostemonis,10,1
Colletidae,Colletes pulchellus,15,3
Colletidae,Colletes pumilus,21,4
Colletidae,Colletes punctatus,14,1
Colletidae,Colletes rufotibialis,16,4
Colletidae,Colletes schmidi,15,4
Colletidae,Colletes sierrensis,31,1
Colletidae,Colletes similis,50,3
Colletidae,Colletes simulans,10,1
Colletidae,Colletes succinctus,44,3
Colletidae,Colletes thoracicus,10,6
Colletidae,Colletes tuberculatus,32,1
Colletidae,Colletes validus,10,1
Colletidae,Colletes wolfi,20,1
Colletidae,Euryglossa aureophila,15,1
Colletidae,Euryglossa morrisoni,15,1
Colletidae,Hylaeus alpinus,30,9
Colletidae,Hylaeus angustatus,30,11
Colletidae,Hylaeus annulatus,30,8
Colletidae,Hylaeus brevicornis,30,4
Colletidae,Hylaeus clypearis,30,1
Colletidae,Hylaeus communis,30,12
Colletidae,Hylaeus confusus,30,6
Colletidae,Hylaeus cornutus,30,2
Colletidae,Hylaeus crassanus,30,5
Colletidae,Hylaeus dilatatus,30,8
Colletidae,Hylaeus duckei,30,1
Colletidae,Hylaeus gibbus,30,6
Colletidae,Hylaeus glacialis,18,6
Colletidae,Hylaeus gredleri,30,2
Colletidae,Hylaeus hyalinatus,30,11
Colletidae,Hylaeus incongruus,18,10
Colletidae,Hylaeus kahri,30,2
Colletidae,Hylaeus leptocephalus,30,4
Colletidae,Hylaeus moricei,18,10
Colletidae,Hylaeus nigritus,30,2
Colletidae,Hylaeus nivalis,30,7
Colletidae,Hylaeus paulus,30,4
Colletidae,Hylaeus pectoralis,30,6
Colletidae,Hylaeus pfankuchi,30,2
Colletidae,Hylaeus pictipes,30,6
Colletidae,Hylaeus pilosulus,30,1
Colletidae,Hylaeus punctatissimus,30,2
Colletidae,Hylaeus punctatissimus,30,5
Colletidae,Hylaeus rinki,30,3
Colletidae,Hylaeus signatus,30,1
Colletidae,Hylaeus sinuatus,30,1
Colletidae,Hylaeus styriacus,30,1
Colletidae,Hylaeus taeniolatus,30,3
Colletidae,Hylaeus tyrolensis,30,1
Colletidae,Hylaeus variegatus,30,3
Colletidae,Leioproctus rugatus,10,1
Colletidae,Protodiscelis palpalis,125,1
Colletidae,Scrapter niger,24,3
Colletidae,Scrapter nitidus,34,1
