"","species","total_area"
"325","Colletes latitarsis",7793795328255.98
"326","Colletes nudus",8677408248788.3
"327","Colletes similis",22376889473096.2
"328","Colletes simulans",16604808935701.6
"329","Colletes solidaginis",2981413500971.81
"330","Colletes thoracicus",4308574418426.57
"331","Colletes validus",2691490961172.99
"332","Cubiandrena cubiceps",84665326819.657
"333","Dasypoda cingulata",912554612636.417
"334","Dasypoda dusmeti",325787296481.402
"335","Dasypoda maura",14102801763.5588
"336","Dasypoda visnaga",744904893490.604
"337","Dianthidium simile",4841729759128.78
"338","Dieunomia heteropoda",8948884275752.93
"339","Dufourea harveyi",2973627835734.81
"340","Dufourea monardae",2810652150030.39
"341","Dufourea trautmanni",18172216688.0249
"342","Eucera alternans",952265657939.182
"343","Eucera caspica",1355751315026.06
"344","Eucera chrysopyga",3275334190971.01
"345","Eucera cineraria",904856190101.28
"346","Eucera clypeata",5129531167993.43
"347","Eucera collaris",71697157198.2213
"348","Eucera decolorata",2487597453.92024
"349","Eucera elongatula",565863408846.773
"350","Eucera eucnemidea",383060731320.671
"351","Eucera furfurea",359598016052.373
"352","Eucera hamata",9096978370348.57
"353","Eucera interrupta",9377715064723.42
"354","Eucera longicornis",27860858083892.9
"355","Eucera nigrescens",7837259707323.46
"356","Eucera nigrifacies",2362494317461.18
"357","Eucera nigrilabris",3500487500697.96
"358","Eucera notata",651974936511.695
"359","Eucera numida",763703347489.18
"360","Eucera proxima",2953898430336.24
"361","Eucera taurica",2880626887982.45
"362","Flavipanurgus flavus",126893985.293608
"363","Flavipanurgus kastiliensis",9591870155.08167
"364","Halictus confusus",36642830443611.8
"365","Halictus crenicornis",355990686609.816
"366","Halictus gemmeus",3515251422264.8
"367","Halictus ligatus",20097571788192.3
"368","Halictus maculatus",17399740904664.9
"369","Halictus parallelus",11721144698972.4
"370","Halictus pollinosus",9556530149799.81
"371","Halictus quadricinctus",25931500856190.8
"372","Halictus rubicundus",100874580987098
"373","Halictus scabiosae",10465687163977.3
"374","Halictus sexcinctus",13136319348257.2
"375","Halictus subauratus",19195261076370.4
"376","Halictus tumulorum",48740774592342.4
"377","Halictus vestitus",800615496516.4
"378","Heriades carinata",15503682267281.6
"379","Heriades crenulata",7021994326863.7
"380","Heriades leavitti",8054584599671.83
"381","Heriades truncorum",14814211754024.7
"382","Hoplitis adunca",9551806064426.94
"383","Hoplitis albifrons",30285684329681.7
"384","Hoplitis claviventris",28158392703038.8
"385","Hoplitis dalmatica",99972762932.3084
"386","Hoplitis pilosifrons",17246601587846.2
"387","Hoplitis praestans",1636929930932.91
"388","Hoplitis producta",16094245239314.2
"389","Hoplitis stecki",143436468997.754
"390","Hoplitis tridentata",18674915532624.6
"391","Lasioglossum acuminatum",3951266817271.32
"392","Lasioglossum admirandum",10212905385476.5
"393","Lasioglossum aeratum",10117638213088.2
"394","Lasioglossum albipes",11653643547743.7
"395","Lasioglossum albocinctum",1834453171652.3
"396","Lasioglossum anomalum",4445842003872.01
"397","Lasioglossum athabascense",11180778081359.6
"398","Lasioglossum atwoodi",1484275223464.23
"399","Lasioglossum bimaculatum",581742574182.316
"400","Lasioglossum brevicorne",7929014715068.75
"401","Lasioglossum bruneri",5351238424246.15
"402","Lasioglossum buccale",940150077156.005
"403","Lasioglossum calceatum",43079149959610.4
"404","Lasioglossum callizonium",3762127617210.87
"405","Lasioglossum cattellae",1786408402587.6
"406","Lasioglossum cinctipes",11528334886551.3
"407","Lasioglossum coeruleum",4765713414973.59
"408","Lasioglossum convexiusculum",3321593046894.84
"409","Lasioglossum coriaceum",10164600318019.4
"410","Lasioglossum corvinum",1655069803473.13
"411","Lasioglossum costulatum",10531940881623.4
"412","Lasioglossum cressonii",14987256259695.2
"413","Lasioglossum cristula",610585539432.37
"414","Lasioglossum dreisbachi",679306244648.085
"415","Lasioglossum ephialtum",8336611108193.71
"416","Lasioglossum foxii",13693349603821.3
"417","Lasioglossum fulvicorne",22056919201699.8
"418","Lasioglossum fuscipenne",4147488723731.82
"419","Lasioglossum gotham",2407493855080.5
"420","Lasioglossum hitchensi",5904802787785.92
"421","Lasioglossum imitatum",11846887516709.3
"422","Lasioglossum interruptum",5866217492684.99
"423","Lasioglossum laevigatum",6613659786533.23
"424","Lasioglossum laevissimum",16300220281538.7
"425","Lasioglossum laticeps",11025648636431.3
"426","Lasioglossum lativentre",10581644098091.1
"427","Lasioglossum leucopus",16310542495205.1
"428","Lasioglossum leucozonium",66993942601767.8
"429","Lasioglossum lineatulum",9461253862632.61
"430","Lasioglossum lustrans",5475268919247.48
"431","Lasioglossum macoupinense",9168945674279.95
"432","Lasioglossum malachurum",17643848147287.5
"433","Lasioglossum mandibulare",17173478515.0665
"434","Lasioglossum marginatum",11207266225977.9
"435","Lasioglossum maurusium",228607213.894202
"436","Lasioglossum mediterraneum",975965057501.077
"437","Lasioglossum minutissimum",21546001324752
"438","Lasioglossum monstrificum",3339175159251.84
"439","Lasioglossum morio",21494792331826.9
"440","Lasioglossum nigripes",6282388160590.93
"441","Lasioglossum nigroviride",10278810136842.1
"442","Lasioglossum nitidulum",5866752175354.61
"443","Lasioglossum oblongum",6498401794525.84
"444","Lasioglossum obscurum",7293748644996.63
"445","Lasioglossum oceanicum",6316101269156.54
"446","Lasioglossum pallens",2296807170465.9
"447","Lasioglossum paradmirandum",3352169865871.64
"448","Lasioglossum paraforbesii",9306992451688.07
"449","Lasioglossum parvulum",5509256235198.59
"450","Lasioglossum pauperatum",3670188195685.19
"451","Lasioglossum pauxillum",11252892930054.5
"452","Lasioglossum pectorale",9093213167849.59
"453","Lasioglossum perclavipes",328676252504.805
"454","Lasioglossum perpunctatum",9617640002193.54
"455","Lasioglossum pictum",5892763367411.89
"456","Lasioglossum pilosum",12600084540070.7
"457","Lasioglossum planatum",10859857229076.5
"458","Lasioglossum politum",21356834518016.5
"459","Lasioglossum prasinum",3873196161409.8
"460","Lasioglossum pseudoleptocephalum",25677065552.9285
"461","Lasioglossum punctatissimum",11090460528137.1
"462","Lasioglossum puncticolle",5926560766012.97
"463","Lasioglossum pygmaeum",5324026142302.03
"464","Lasioglossum quebecense",30832831554513.5
"465","Lasioglossum sexnotatum",10862937485180.8
"466","Lasioglossum smilacinae",6244905387473.83
"467","Lasioglossum subhirtum",1635261872761.83
"468","Lasioglossum subviridatum",4921955176318.12
"469","Lasioglossum tegulare",12502208236474
"470","Lasioglossum timothyi",3022713835954.9
"471","Lasioglossum truncatum",4135695248279.21
"472","Lasioglossum versans",15323484606199.5
"473","Lasioglossum versatum",8073335906117.8
"474","Lasioglossum vierecki",7053113438618.09
"475","Lasioglossum villosulum",55213766213177.6
"476","Lasioglossum virens",5890385747.43948
"477","Lasioglossum xanthopus",17507162120681
"478","Lasioglossum zonulum",35242655683090
"479","Lithurgus chrysurus",17436333223195.4
"480","Macropis europaea",13701780534406.5
"481","Macropis fulvipes",11613310670182.4
"482","Macropis nuda",8340296957137.37
"483","Macropis patellata",948663649834.27
"484","Megachile albisecta",11181203566602
"485","Megachile albonotata",810370391579.941
"486","Megachile campanulae",12154942317720.9
"487","Megachile centuncularis",39555452110773.5
"488","Megachile ericetorum",15894683987753.9
"489","Megachile frigida",31775824287175.1
"490","Megachile gemula",19602885184877.1
"491","Megachile genalis",2449193478464.79
"492","Megachile inermis",26832685815681.7
"493","Megachile latimanus",27472774401778.7
"494","Megachile leachella",27466122615592.9
"495","Megachile lefebvrei",3002261177579.69
"496","Megachile ligniseca",33069750791206.8
"497","Megachile maritima",39488599589166.9
"498","Megachile melanophaea",31933105251823.6
"499","Megachile mendica",14815919532211
