bee_species,bee_genus,bee_family,range_size_m2,pollen_genera_count,pollen_families_count,diet_binary_genus,diet_binary_family,no_records_in_Dorey,bee_family_n,bee_species_original_wood
Andrena rudbeckiae,Andrena,Andrenidae,5755148303958,3,1,generalist,specialist,559,Andrenidae (n = 168),Andrena rudbeckiae
Lasioglossum interruptum,Lasioglossum,Halictidae,5866217492685,19,12,generalist,generalist,1148,Halictidae (n = 72),Lasioglossum interruptum
Lasioglossum nitidulum,Lasioglossum,Halictidae,5866752175355,13,12,generalist,generalist,5716,Halictidae (n = 72),Lasioglossum nitidulum
Andrena alleghaniensis,Andrena,Andrenidae,5899877420476,17,11,generalist,generalist,626,Andrenidae (n = 168),Andrena alleghaniensis
Lasioglossum hitchensi,Lasioglossum,Halictidae,5904802787786,19,14,generalist,generalist,7152,Halictidae (n = 72),Lasioglossum hitchensi
Lasioglossum puncticolle,Lasioglossum,Halictidae,5926560766013,11,3,generalist,generalist,530,Halictidae (n = 72),Lasioglossum puncticolle
Andrena erigeniae,Andrena,Andrenidae,6026169930415,2,2,generalist,generalist,7834,Andrenidae (n = 168),Andrena erigeniae
Andrena agilissima,Andrena,Andrenidae,6131181842296,6,3,generalist,generalist,906,Andrenidae (n = 168),Andrena agilissima
Osmia pumila,Osmia,Megachilidae,6159886784854,10,7,generalist,generalist,5810,Megachilidae (n = 20),Osmia pumila
Andrena alfkenella,Andrena,Andrenidae,6231729889754,21,7,generalist,generalist,533,Andrenidae (n = 168),Andrena alfkenella
Andrena brevipalpis,Andrena,Andrenidae,6255060225643,1,1,genus specialist,specialist,687,Andrenidae (n = 168),Andrena brevipalpis
Lasioglossum nigripes,Lasioglossum,Halictidae,6282388160591,12,6,generalist,generalist,1470,Halictidae (n = 72),Lasioglossum nigripes
Andrena gravida,Andrena,Andrenidae,6460026050339,19,12,generalist,generalist,4447,Andrenidae (n = 168),Andrena gravida
Andrena placata,Andrena,Andrenidae,6478327676583,1,1,genus specialist,specialist,593,Andrenidae (n = 168),Andrena placata
Andrena ziziae,Andrena,Andrenidae,6494906729579,2,1,generalist,specialist,1511,Andrenidae (n = 168),Andrena ziziae
Lasioglossum laevigatum,Lasioglossum,Halictidae,6613659786533,21,13,generalist,generalist,2872,Halictidae (n = 72),Lasioglossum laevigatum
Andrena nuda,Andrena,Andrenidae,6723670540400,11,7,generalist,generalist,984,Andrenidae (n = 168),Andrena nuda
Andrena apicata,Andrena,Andrenidae,6819081813499,2,2,generalist,generalist,764,Andrenidae (n = 168),Andrena apicata
Ceratina chalcites,Ceratina,Apidae,6939453550314,4,2,generalist,generalist,95,Apidae (n = 83),Ceratina chalcites
Melissodes denticulatus,Melissodes,Apidae,7662494987229,1,1,genus specialist,specialist,1395,Apidae (n = 83),Melissodes denticulatus
Bombus haematurus,Bombus,Apidae,7669760032084,15,7,generalist,generalist,284,Apidae (n = 83),Bombus haematurus
Eucera nigrescens,Eucera,Apidae,7837259707323,9,3,generalist,generalist,3543,Apidae (n = 83),Eucera nigrescens
Melissodes illatus,Melissodes,Apidae,7838974608863,4,2,generalist,generalist,323,Apidae (n = 83),Melissodes illatus
Andrena nigriceps,Andrena,Andrenidae,7874084257535,17,11,generalist,generalist,1288,Andrenidae (n = 168),Andrena nigriceps
Andrena fulva,Andrena,Andrenidae,7925040387319,17,12,generalist,generalist,26483,Andrenidae (n = 168),Andrena fulva
Lasioglossum brevicorne,Lasioglossum,Halictidae,7929014715069,4,3,generalist,generalist,618,Halictidae (n = 72),Lasioglossum brevicorne
