"","species_original","species","plant_fam_count","plant_gen_count","bee_family","bee_genus","...1","total_area","area","log_fam","log_gen","log_area","bee_family_n","area_ha","log_area_ha","area_km","log_area_km"
"64","Andrena fulvicornis","Andrena fulvicornis",2,5,"Andrenidae","Andrena",83,5025686534350.47,5025686534350.47,0.693147180559945,1.6094379124341,29.2455831842929,"Andrenidae (n = 168)",502568653.435047,20.0352428123167,5025686.53435047,15.4300726263286
"65","Andrena funerea","Andrena funerea",1,3,"Andrenidae","Andrena",84,194336403.037057,194336403.037057,0,1.09861228866811,19.085101251596,"Andrenidae (n = 168)",19433.6403037057,9.87476087961977,194.336403037057,5.26959069363168
"66","Andrena fuscosa","Andrena fuscosa",8,9,"Andrenidae","Andrena",85,10752337386417,10752337386417,2.07944154167984,2.19722457733622,30.0061442781621,"Andrenidae (n = 168)",1075233738.6417,20.7958039061859,10752337.386417,16.1906337201978
"67","Andrena gravida","Andrena gravida",12,19,"Andrenidae","Andrena",90,6460026050338.94,6460026050338.94,2.484906649788,2.94443897916644,29.4966544662751,"Andrenidae (n = 168)",646002605.033894,20.286314094299,6460026.05033894,15.6811439083109
"68","Andrena haemorrhoa","Andrena haemorrhoa",19,38,"Andrenidae","Andrena",92,51683099924643.4,51683099924643.4,2.94443897916644,3.63758615972639,31.576151956666,"Andrenidae (n = 168)",5168309992.46434,22.3658115846898,51683099.9246434,17.7606413987017
"69","Andrena helianthi","Andrena helianthi",1,1,"Andrenidae","Andrena",94,10692266948146,10692266948146,0,0,30.0005418809854,"Andrenidae (n = 168)",1069226694.8146,20.7902015090092,10692266.948146,16.1850313230211
"70","Andrena helvola","Andrena helvola",11,16,"Andrenidae","Andrena",95,24250074623284.6,24250074623284.6,2.39789527279837,2.77258872223978,30.8194408105562,"Andrenidae (n = 168)",2425007462.32846,21.60910043858,24250074.6232846,17.0039302525919
"71","Andrena hippotes","Andrena hippotes",9,13,"Andrenidae","Andrena",97,14624400228482.1,14624400228482.1,2.19722457733622,2.56494935746154,30.3137124981872,"Andrenidae (n = 168)",1462440022.84821,21.103372126211,14624400.2284821,16.4982019402229
"72","Andrena hirticincta","Andrena hirticincta",1,1,"Andrenidae","Andrena",98,9176250544357.93,9176250544357.93,0,0,29.8476397996939,"Andrenidae (n = 168)",917625054.435793,20.6372994277177,9176250.54435793,16.0321292417296
"73","Andrena hypopolia","Andrena hypopolia",3,4,"Andrenidae","Andrena",100,2659188423016.76,2659188423016.76,1.09861228866811,1.38629436111989,28.6090420880394,"Andrenidae (n = 168)",265918842.301676,19.3987017160632,2659188.42301676,14.7935315300751
"74","Andrena illinoiensis","Andrena illinoiensis",1,1,"Andrenidae","Andrena",101,11835286331583.4,11835286331583.4,0,0,30.1021065522295,"Andrenidae (n = 168)",1183528633.15834,20.8917661802533,11835286.3315834,16.2865959942652
"75","Andrena imitatrix","Andrena imitatrix",7,11,"Andrenidae","Andrena",102,12607386118248.3,12607386118248.3,1.94591014905531,2.39789527279837,30.1653039579989,"Andrenidae (n = 168)",1260738611.82483,20.9549635860227,12607386.1182483,16.3497934000347
"76","Andrena integra","Andrena integra",1,1,"Andrenidae","Andrena",104,4618522283382.04,4618522283382.04,0,0,29.1610959177768,"Andrenidae (n = 168)",461852228.338204,19.9507555458006,4618522.28338204,15.3455853598125
"77","Andrena isis","Andrena isis",1,2,"Andrenidae","Andrena",106,521864702285.979,521864702285.979,0,0.693147180559945,26.9806742002102,"Andrenidae (n = 168)",52186470.2285979,17.770333828234,521864.702285979,13.1651636422459
"78","Andrena labialis","Andrena labialis",10,25,"Andrenidae","Andrena",107,14880696874844,14880696874844,2.30258509299405,3.2188758248682,30.3310859772237,"Andrenidae (n = 168)",1488069687.4844,21.1207456052475,14880696.874844,16.5155754192594
"79","Andrena labiata","Andrena labiata",13,28,"Andrenidae","Andrena",108,15483030332190.9,15483030332190.9,2.56494935746154,3.3322045101752,30.3707657228255,"Andrenidae (n = 168)",1548303033.21909,21.1604253508493,15483030.3321909,16.5552551648612
