bee_species,bee_genus,bee_family,eoo_size_m2,count_in_Dorey,diet_families_rareCount,diet_genera_rareCount,diet_binary
Andrena albopunctata,Andrena,Andrenidae,10914137584628,118,7.620169,8.5844,Generalist
Bombus zonatus,Bombus,Apidae,2292775431135,119,5.694876,15.271,Generalist
Andrena fuscosa,Andrena,Andrenidae,10752337386417,120,7.165522,10.108,Generalist
Colletes collaris,Colletes,Colletidae,2584395474026,120,2,NA,Generalist
Hylaeus tyrolensis,Hylaeus,Colletidae,2579192410697,120,1,NA,Specialist
Macrotera texana,Macrotera,Andrenidae,830884951031,122,1,NA,Specialist
Osmia tricornis,Osmia,Megachilidae,2474955947880,123,9.273077,NA,Generalist
Xenoglossa patricia,Xenoglossa,Apidae,1081131321701,124,1,NA,Specialist
Andrena verticalis,Andrena,Andrenidae,1558361334152,125,2,5.6762,Generalist
Camptopoeum frontale,Camptopoeum,Andrenidae,2328842401666,126,1,2,Specialist
Bombus cullumanus,Bombus,Apidae,26189564458328,126,9.213691,14.988,Generalist
Andrena potentillae,Andrena,Andrenidae,2401554327454,127,1,NA,Specialist
Icteranthidium grohmanni,Icteranthidium,Megachilidae,2444755162770,127,11.495736,NA,Generalist
Andrena niveata,Andrena,Andrenidae,5321590783867,128,2.900897,4.9091,Generalist
Lasioglossum pauperatum,Lasioglossum,Halictidae,3670188195685,129,8.900153,10.892,Generalist
Systropha planidens,Systropha,Halictidae,12428883403597,129,1,NA,Specialist
Lasioglossum convexiusculum,Lasioglossum,Halictidae,3321593046895,131,1,NA,Specialist
Camptopoeum friesei,Camptopoeum,Andrenidae,500677212138,132,1,1,Specialist
Rhodanthidium caturigense,Rhodanthidium,Megachilidae,907622486486,140,7.72052,NA,Generalist
Meganomia binghami,Meganomia,Melittidae,1628504260372,141,4.96546,NA,Generalist
Scrapter niger,Scrapter,Colletidae,334696121529,143,3.91165,NA,Generalist
Osmia tergestensis,Osmia,Megachilidae,3032998647328,151,2.24506,NA,Generalist
Diadasia tropicalis,Diadasia,Apidae,2732602568307,152,1,NA,Specialist
Andrena leucolippa,Andrena,Andrenidae,785393038986,160,1,1,Specialist
Megachile pilicrus,Megachile,Megachilidae,4631593701812,160,1,NA,Specialist
Lasioglossum albocinctum,Lasioglossum,Halictidae,1834453171652,161,6.611377,NA,Generalist
Rophites quinquespinosus,Rophites,Halictidae,10948119106266,163,1,NA,Specialist
Andrena floricola,Andrena,Andrenidae,2256188605413,165,1,NA,Specialist
Anthidium loti,Anthidium,Megachilidae,6106016273026,165,3.853292,NA,Generalist
Diadasina riparia,Diadasina,Apidae,3752559193297,166,1,NA,Specialist
Hylaeus paulus,Hylaeus,Colletidae,23265580172527,166,6.073621,NA,Generalist
Protomeliturga turnerae,Protomeliturga,Andrenidae,636102542893,179,1,NA,Specialist
Osmia laticeps,Osmia,Megachilidae,52735587130656,179,1,NA,Specialist
Dufourea monardae,Dufourea,Halictidae,2810652150030,181,1,NA,Specialist
Samba ogilviei,Samba,Melittidae,50222588612,182,2.999389,NA,Generalist
Andrena crawfordi,Andrena,Andrenidae,495320918297,185,1,NA,Specialist
Osmia labialis,Osmia,Megachilidae,493698118748,190,1.2,NA,Generalist
Andrena rogenhoferi,Andrena,Andrenidae,479873999543,206,13.475944,NA,Generalist
Arhysosage cactorum,Arhysosage,Andrenidae,131998093778,210,1,NA,Specialist
Andrena fulvipennis,Andrena,Andrenidae,1729562893861,211,1,NA,Specialist
Andrena balsamorhizae,Andrena,Andrenidae,57323512565,213,1.876884,NA,Generalist
Andrena polita,Andrena,Andrenidae,8623487889735,213,1,NA,Specialist
Hylaeus pfankuchi,Hylaeus,Colletidae,23350524009678,222,5.157764,NA,Generalist
Systropha curvicornis,Systropha,Halictidae,4829630114878,222,1,NA,Specialist
Trachusa interrupta,Trachusa,Megachilidae,2001128255298,224,1,NA,Specialist
Anthidium montanum,Anthidium,Megachilidae,325248611939,225,1.285714,NA,Generalist
Andrena haynesi,Andrena,Andrenidae,3579986650164,231,1.992991,NA,Generalist
Xenoglossa angustior,Xenoglossa,Apidae,2596331384088,232,1,NA,Specialist
