"","species","total_area","count"
"462","Lasioglossum foxii",13693349603821.3,1209
"463","Lasioglossum fulvicorne",22056919201699.8,13225
"464","Lasioglossum glabriusculum",4325027887236.94,2103
"465","Lasioglossum hitchensi",5904802787785.92,7152
"466","Lasioglossum imitatum",11846887516709.3,9535
"467","Lasioglossum intermedium",3716717157007.84,257
"468","Lasioglossum interruptum",5866217492684.99,1148
"469","Lasioglossum laevigatum",6613659786533.23,2872
"470","Lasioglossum laevissimum",16300220281538.7,1684
"471","Lasioglossum laticeps",11025648636431.3,13131
"472","Lasioglossum lativentre",10581644098091.1,2824
"473","Lasioglossum leucopus",16310542495205.1,16272
"474","Lasioglossum leucozonium",66993942601767.8,17030
"475","Lasioglossum lineatulum",9461253862632.61,1731
"476","Lasioglossum macoupinense",9168945674279.95,450
"477","Lasioglossum malachurum",17643848147287.5,11314
"478","Lasioglossum mediterraneum",975965057501.077,23
"479","Lasioglossum monstrificum",3339175159251.84,415
"480","Lasioglossum morio",21494792331826.9,30501
"481","Lasioglossum nigripes",6282388160590.93,1470
"482","Lasioglossum pallens",2296807170465.9,385
"483","Lasioglossum paradmirandum",3352169865871.64,348
"484","Lasioglossum paraforbesii",9306992451688.07,645
"485","Lasioglossum parvulum",5509256235198.59,2579
"486","Lasioglossum pauperatum",3670188195685.19,129
"487","Lasioglossum pauxillum",11252892930054.5,13733
"488","Lasioglossum pectorale",9093213167849.59,4048
"489","Lasioglossum perpunctatum",9617640002193.54,497
"490","Lasioglossum pilosum",12600084540070.7,12431
"491","Lasioglossum prasinum",3873196161409.8,346
"492","Lasioglossum punctatissimum",11090460528137.1,4525
"493","Lasioglossum puncticolle",5926560766012.97,530
"494","Lasioglossum quebecense",30832831554513.5,2591
"495","Lasioglossum tricinctum",3209672628319.17,914
"496","Lasioglossum versans",15323484606199.5,1513
"497","Lasioglossum versatum",8073335906117.8,11759
"498","Lasioglossum villosulum",55213766213177.6,11330
"499","Lasioglossum xanthopus",17507162120681,1146
"500","Lasioglossum zonulum",35242655683090,11750
"501","Lipotriches cinerascens",1139402576368.43,25
"502","Lipotriches cribrosa",1435335829069.27,36
"503","Lipotriches hylaeoides",7370040965998.16,64
"504","Lipotriches tanganyicensis",83653528934.7405,9
"505","Lithurgus chrysurus",17436333223195.4,493
"506","Macrotera texana",830884951030.634,122
"507","Megachile alpicola",6380469143590.75,1709
"508","Megachile analis",40818811149218.6,1274
"509","Megachile apicalis",34793852906348.9,805
"510","Megachile centuncularis",39555452110773.5,7242
